day	mean(S_t)	ciLow(S_t)	ciHigh(S_t)	relerr(S_t)	mean(I_t)	ciLow(I_t)	ciHigh(I_t)	relerr(I_t)	mean(R_t)	ciLow(R_t)	ciHigh(R_t)	relerr(R_t)
158	136.125	128.1826742155921	144.0673257844079	0.058345827617321475	63.75	38.630158686721984	88.86984131327802	0.3940367264827924	9800.125	9774.933414291147	9825.316585708853	0.0025705371828270178
159	135.875	127.79578648500174	143.95421351499826	0.05946063304506538	60.25	36.988719097207856	83.51128090279215	0.386079351083687	9803.875	9780.467450463113	9827.282549536887	0.002387581393774162
160	135.625	127.31825276146716	143.93174723853284	0.06124790590623284	56.125	33.8209448585943	78.4290551414057	0.39739964617203916	9808.25	9786.215315190848	9830.284684809152	0.0022465460004743045
161	135.375	126.8682448613114	143.88175513868862	0.06283844977793984	52.0	31.781108790527266	72.21889120947273	0.38882483095139875	9812.625	9792.587936432144	9832.662063567856	0.0020419677270716316
162	135.375	126.8682448613114	143.88175513868862	0.06283844977793984	47.0	28.240260773469863	65.75973922653014	0.39914338779851355	9817.625	9798.563964641951	9836.686035358049	0.0019415118583210086
163	135.125	126.88452224642026	143.36547775357974	0.060984109184678975	43.25	25.299774259256836	61.200225740743164	0.41503412117325233	9821.625	9802.924050142889	9840.325949857111	0.00190405863155138
164	135.125	126.88452224642026	143.36547775357974	0.060984109184678975	39.625	23.21433436657832	56.03566563342168	0.4141492904333547	9825.25	9807.720106403978	9842.779893596022	0.0017841676899847292
165	135.125	126.88452224642026	143.36547775357974	0.060984109184678975	36.625	21.431031501182037	51.818968498817966	0.4148523822202857	9828.25	9811.880313355568	9844.619686644432	0.001665574913583928
166	135.0	126.90666049331693	143.09333950668307	0.0599506630124671	33.625	20.04700850451153	47.20299149548847	0.4038064385275381	9831.375	9816.219572008895	9846.530427991105	0.0015415369662032056
167	134.875	126.92347505132793	142.82652494867207	0.0589547725573462	32.0	18.732105932155292	45.26789406784471	0.4146216896201471	9833.125	9818.477329614498	9847.772670385502	0.0014896251583806533
168	134.75	126.93467610882342	142.56532389117658	0.057998693069956066	29.25	17.28131635164462	41.21868364835538	0.40918576575573945	9836.0	9822.67163458724	9849.32836541276	0.0013550595173607762
169	134.625	126.85482296163619	142.3951770383638	0.05771719248552503	27.125	16.06626376760461	38.18373623239539	0.407695344973102	9838.25	9825.627302028503	9850.872697971497	0.0012830226891467117
170	134.625	126.85482296163619	142.3951770383638	0.05771719248552503	25.375	15.389701814241349	35.36029818575865	0.3935092881087153	9840.0	9828.158736224837	9851.841263775163	0.001203380464955498
171	134.375	126.77606134903012	141.97393865096987	0.056550241123496776	24.25	14.608781257169312	33.89121874283069	0.3975760306321933	9841.375	9829.577418949073	9853.172581050927	0.0011987736521499542
172	134.25	126.77900794061652	141.7209920593835	0.05564984774214885	22.125	13.7437807625509	30.506219237449102	0.3788121689242531	9843.625	9833.056395000256	9854.193604999744	0.0010736496971129566
173	134.25	126.77900794061652	141.7209920593835	0.05564984774214885	20.5	12.37060980483943	28.629390195160568	0.3965556192761253	9845.25	9835.616366796301	9854.883633203699	0.000978505696015817
174	134.125	126.54050572512062	141.70949427487938	0.05654795358717145	19.25	11.425327631927363	27.074672368072637	0.40647648665312397	9846.625	9837.416702372167	9855.833297627833	0.0009351729783385186
175	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	18.125	10.530873088408256	25.719126911591744	0.41898631236368233	9847.875	9838.822837418555	9856.927162581445	0.0009191995817823346
176	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	16.875	9.955846589174856	23.794153410825146	0.4100239058266752	9849.125	9840.376750341662	9857.873249658338	0.0008882260767669549
177	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	15.875	9.203279785707362	22.546720214292638	0.4202658402704024	9850.125	9841.579660414227	9858.670339585773	0.0008675361567262581
178	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	14.625	7.915038292158812	21.334961707841188	0.45880080053614963	9851.375	9843.068252761466	9859.681747238534	0.0008432068861994218
179	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	13.625	7.114101173080415	20.135898826919586	0.4778641340858411	9852.375	9844.400523567747	9860.349476432253	0.0008093963569447333
180	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	12.875	6.6687745185373295	19.08122548146267	0.48203693059904235	9853.125	9844.761243928782	9861.488756071218	0.0008488429885155195
181	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	12.25	6.195068660276513	18.30493133972349	0.49428010936518263	9853.75	9845.427316804642	9862.072683195358	0.0008446209002012773
182	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	11.5	5.738949521461349	17.26105047853865	0.500960911177274	9854.5	9846.607882336826	9862.392117663174	0.0008008643425008216
183	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	10.625	4.852065336765522	16.39793466323448	0.5433350271279509	9855.375	9847.502010555829	9863.247989444171	0.0007988523464781176
184	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	9.75	4.359335286145399	15.140664713854601	0.5528886886004719	9856.25	9848.749709820118	9863.750290179882	0.0007609679320107797
185	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	9.125	3.94615618771567	14.303843812284331	0.5675445273736253	9856.875	9849.53542918056	9864.21457081944	0.0007446143751889083
186	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	7.75	3.4281548089233507	12.07184519107665	0.5576574440098903	9858.25	9850.798604019112	9865.701395980888	0.0007558538260734529
187	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	7.125	3.5088321767734976	10.741167823226503	0.5075323260668775	9858.875	9851.329159236311	9866.420840763689	0.0007653855803718398
188	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	6.25	3.0565445796191644	9.443455420380836	0.5109528672609337	9859.75	9852.477344399898	9867.022655600102	0.0007376105479451017
189	134.0	126.2858877063273	141.7141122936727	0.057568002191587336	5.5	2.6642359226091137	8.335764077390886	0.5155934686165248	9860.5	9853.428658603918	9867.571341396082	0.0007171382177456723
190	133.875	126.04390702765814	141.70609297234188	0.05849555908378613	5.5	2.6385723761897113	8.36142762381029	0.520259567965507	9860.625	9853.52335501894	9867.72664498106	0.0007202023179118167
191	133.875	126.04390702765814	141.70609297234188	0.05849555908378613	5.0	2.521930986689748	7.478069013310252	0.4956138026620504	9861.125	9854.018209830814	9868.231790169186	0.0007206875654843101
192	133.75	125.84168861508125	141.65831138491876	0.05912756175640188	4.75	2.528605764539901	6.9713942354600995	0.4676619443073893	9861.5	9854.20476235473	9868.79523764527	0.000739769573114744
193	133.75	125.84168861508125	141.65831138491876	0.05912756175640188	4.375	2.180507665178094	6.569492334821906	0.5015982479592929	9861.875	9854.456173882409	9869.293826117591	0.0007522733879298775
194	133.75	125.84168861508125	141.65831138491876	0.05912756175640188	3.875	1.9464719265818242	5.803528073418176	0.49768466410791634	9862.375	9855.090417374804	9869.659582625196	0.0007386235693934332
195	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	3.75	1.7357181212076358	5.764281878792364	0.5371418343446305	9862.625	9855.39076933566	9869.85923066434	0.0007334995160356672
196	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	3.625	1.67761056750222	5.57238943249778	0.5372108779304221	9862.75	9855.660589806523	9869.839410193477	0.0007188066404884253
197	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	3.375	1.801330940557091	4.948669059442909	0.4662723139090101	9863.0	9855.744956807417	9870.255043192583	0.0007355817897782545
198	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	3.375	1.801330940557091	4.948669059442909	0.4662723139090101	9863.0	9855.744956807417	9870.255043192583	0.0007355817897782545
199	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	3.0	1.5190705096932673	4.480929490306733	0.49364316343557757	9863.375	9856.27335501894	9870.47664498106	0.0007200015188573087
200	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	2.75	1.384650472600098	4.115349527399902	0.496490737236328	9863.625	9856.461856674678	9870.788143325322	0.0007262181323116161
201	133.625	125.83602885517708	141.41397114482294	0.05828977470400693	2.625	1.4196107255911659	3.830389274408834	0.45919591406050825	9863.75	9856.487403402776	9871.012596597224	0.0007362916332250726
